"date","state","dataQualityGrade","death","deathConfirmed","deathIncrease","deathProbable","hospitalized","hospitalizedCumulative","hospitalizedCurrently","hospitalizedIncrease","inIcuCumulative","inIcuCurrently","negative","negativeIncrease","negativeTestsAntibody","negativeTestsPeopleAntibody","negativeTestsViral","onVentilatorCumulative","onVentilatorCurrently","pending","positive","positiveCasesViral","positiveIncrease","positiveScore","positiveTestsAntibody","positiveTestsAntigen","positiveTestsPeopleAntibody","positiveTestsPeopleAntigen","positiveTestsViral","recovered","totalTestEncountersViral","totalTestEncountersViralIncrease","totalTestResults","totalTestResultsIncrease","totalTestsAntibody","totalTestsAntigen","totalTestsPeopleAntibody","totalTestsPeopleAntigen","totalTestsPeopleViral","totalTestsPeopleViralIncrease","totalTestsViral","totalTestsViralIncrease"
20200902,"WV","C",230,228,8,2,,,146,0,,48,430943,3009,,,,,27,,10642,10453,135,0,,,,,,8266,,0,441585,3144,16019,,,,,0,441396,3141
20200901,"WV","C",222,220,8,2,,,141,0,,49,427934,2137,,,,,25,,10507,10321,257,0,,,,,,8163,,0,438441,2394,15986,,,,,0,438255,2392
20200831,"WV","C",214,212,1,2,,,139,0,,49,425797,4785,,,,,23,,10250,10066,140,0,,,,,,8017,,0,436047,4925,15982,,,,,0,435863,4923
20200830,"WV","C",213,211,1,2,,,141,0,,45,421012,4722,,,,,21,,10110,9928,143,0,,,,,,7983,,0,431122,4865,15943,,,,,0,430940,4866
20200829,"WV","C",212,210,10,2,,,151,0,,49,416290,6533,,,,,23,,9967,9784,143,0,,,,,,7935,,0,426257,6676,15901,,,,,0,426074,6673
20200828,"WV","C",202,201,3,1,,,133,0,,50,409757,5581,,,,,23,,9824,9644,191,0,,,,,,7859,,0,419581,5772,15793,,,,,0,419401,5767
20200827,"WV","C",199,198,9,1,,,146,0,,47,404176,4111,,,,,25,,9633,9458,93,0,,,,,,7773,,0,413809,4204,15718,,,,,0,413634,4205
20200826,"WV","C",190,189,3,1,,,143,0,,42,400065,5890,,,,,22,,9540,9364,145,0,,,,,,7601,,0,409605,6035,15654,,,,,0,409429,6035
20200825,"WV","C",187,186,8,1,,,139,0,,46,394175,4833,,,,,21,,9395,9219,83,0,,,,,,7486,,0,403570,4916,15584,,,,,0,403394,4915
20200824,"WV","C",179,178,1,1,,,141,0,,47,389342,2421,,,,,23,,9312,9137,40,0,,,,,,7385,,0,398654,2461,15521,,,,,0,398479,2461
20200823,"WV","C",178,177,2,1,,,139,0,,46,386921,4248,,,,,23,,9272,9097,87,0,,,,,,7358,,0,396193,4335,15514,,,,,0,396018,4335
20200822,"WV","C",176,175,6,1,,,138,0,,51,382673,7420,,,,,23,,9185,9010,119,0,,,,,,7307,,0,391858,7539,15501,,,,,0,391683,7540
20200821,"WV","C",170,169,4,1,,,146,0,,54,375253,6522,,,,,24,,9066,8890,84,0,,,,,,7140,,0,384319,6606,15442,,,,,0,384143,6606
20200820,"WV","C",166,165,0,1,,,140,0,,52,368731,7808,,,,,18,,8982,8806,181,0,,,,,,7010,,0,377713,7989,15352,,,,,0,377537,7991
20200819,"WV","C",166,165,2,1,,,133,0,,46,360923,3929,,,,,22,,8801,8623,70,0,,,,,,6909,,0,369724,3999,15246,,,,,0,369546,3995
20200818,"WV","B",164,163,4,1,,,132,0,,50,356994,4787,,,,,21,,8731,8557,99,0,,,,,,6737,,0,365725,4886,15215,,,,,0,365551,4882
20200817,"WV","B",160,159,0,1,,,134,0,,50,352207,5432,,,,,19,,8632,8462,68,0,,,,,,6531,,0,360839,5500,15208,,,,,0,360669,5501
20200816,"WV","B",160,159,0,1,,,130,0,,52,346775,4988,,,,,20,,8564,8393,107,0,,,,,,6429,,0,355339,5095,15145,,,,,0,355168,5092
20200815,"WV","B",160,159,3,1,,,132,0,,54,341787,5361,,,,,21,,8457,8289,183,0,,,,,,6298,,0,350244,5544,15072,,,,,0,350076,5546
20200814,"WV","B",157,156,4,1,,,135,0,,52,336426,5062,,,,,18,,8274,8104,123,0,,,,,,6144,,0,344700,5185,14999,,,,,0,344530,5181
20200813,"WV","B",153,152,0,1,,,128,0,,46,331364,4133,,,,,16,,8151,7985,143,0,,,,,,6045,,0,339515,4276,14935,,,,,0,339349,4274
20200812,"WV","B",153,,6,,,,135,0,,48,327231,4497,,,,,16,,8008,7844,133,0,,,,,,5960,,0,335239,4630,14831,,,,,0,335075,4628
20200811,"WV","B",147,,6,,,,130,0,,46,322734,3444,,,,,14,,7875,7713,121,0,,,,,,5863,,0,330609,3565,14810,,,,,0,330447,3561
20200810,"WV","B",141,,2,,,,123,0,,43,319290,3912,,,,,17,,7754,7596,60,0,,,,,,5699,,0,327044,3972,14806,,,,,0,326886,3972
20200809,"WV","B",139,,8,,,,124,0,,50,315378,5021,,,,,15,,7694,7536,131,0,,,,,,5678,,0,323072,5152,14766,,,,,0,322914,5151
20200808,"WV","B",131,,4,,,,121,0,,46,310357,5113,,,,,15,,7563,7406,130,0,,,,,,5609,,0,317920,5243,14705,,,,,0,317763,5242
20200807,"WV","B",127,,3,,,,122,0,,46,305244,5112,,,,,14,,7433,7277,156,0,,,,,,5510,,0,312677,5268,14597,,,,,0,312521,5266
20200806,"WV","B",124,,0,,,,123,0,,47,300132,4697,,,,,11,,7277,7123,118,0,,,,,,5330,,0,307409,4815,14524,,,,,0,307255,4812
20200805,"WV","B",124,,0,,,,115,0,,47,295435,4047,,,,,13,,7159,7008,108,0,,,,,,5218,,0,302594,4155,14441,,,,,0,302443,4153
20200804,"WV","B",124,,7,,,,111,0,,40,291388,3315,,,,,14,,7051,6902,78,0,,,,,,5063,,0,298439,3393,14418,,,,,0,298290,3388
20200803,"WV","B",117,,0,,,,116,0,,50,288073,3715,,,,,17,,6973,6829,119,0,,,,,,4918,,0,295046,3834,14399,,,,,0,294902,3831
20200802,"WV","B",117,,1,,,,112,0,,47,284358,3869,,,,,16,,6854,6713,119,0,,,,,,4897,,0,291212,3988,14364,,,,,0,291071,3987
20200801,"WV","B",116,,0,,,,108,0,,39,280489,3143,,,,,18,,6735,6595,93,0,,,,,,4858,,0,287224,3236,14292,,,,,0,287084,3236
20200731,"WV","B",116,,1,,,,108,0,,39,277346,6287,,,,,18,,6642,6502,220,0,,,,,,4815,,0,283988,6507,14221,,,,,0,283848,6505
20200730,"WV","B",115,,3,,,,102,0,,40,271059,3258,,,,,19,,6422,6284,96,0,,,,,,4703,,0,277481,3354,14144,,,,,0,277343,3355
